x1,y1,z1,count
20,8,0.1,1
10,9,0.1,1
13,9,0.1,1
14,9,0.1,1
11,10,0.1,1
10,12,0.1,1
16,14,0.1,1
15,15,0.1,1
14,15,0.1,1
14,16,0.1,1
12,17,0.1,1
15,17,0.1,1
20,18,0.1,1
13,19,0.1,1
14,19,0.1,1
19,19,0.1,1
13,21,0.1,1
12,22,1,1
14,23,0.1,1
13,24,0.1,1
17,24,0.1,1
24,24,0.1,1
14,25,0.1,1
16,26,0.1,1
24,26,0.1,1
10,26,0.1,1
22,27,0.1,1
14,27,0.1,1
17,27,0.1,1
16,28,0.1,1
14,29,0.1,1
14,31,0.1,1
12,31,0.9393125000000001,1
8,31,0.1,1
15,32,0.1,1
15,36,0.1,1
12,37,0.9321875,1
11,38,0.1,1
16,40,0.1,1
14,40,0.1,1
15,40,0.1,1
11,40,0.1,1
17,41,0.1,1
9,42,0.1,1
16,42,0.1,1
13,44,0.1,1
16,46,0.1,1
20,47,0.1,1
19,47,0.1,1
11,49,0.1,1
16,50,1,1
12,55,0.9108125,1
13,57,0.1,1
11,57,0.1,1
15,57,0.1,1
12,57,0.9084375,1
17,57,0.1,1
13,59,0.1,1
21,62,0.1,1
11,62,0.1,1
15,65,0.1,1
14,65,0.1,1
10,65,0.1,1
16,66,0.9309999999999999,1
14,67,0.1,2
15,67,0.1,1
10,68,0.1,1
20,70,0.1,1
14,71,0.1,2
15,74,0.1,2
18,74,0.1,1
9,74,0.1,2
12,74,0.88825,1
14,74,0.1,1
11,75,1,1
10,75,0.1,2
15,75,0.1,1
9,76,0.1,1
24,77,0.1,1
9,79,0.1,1
18,79,0.1,1
14,79,0.1,1
22,79,0.1,1
13,80,0.1,1
19,84,0.1,1
18,86,0.1,1
23,88,0.1,1
18,89,0.1,1
14,89,0.1,1
22,90,0.1,1
15,90,0.1,1
12,91,0.8680625000000001,1
17,92,0.1,1
18,92,0.1,1
12,96,0.862125,1
14,98,0.1,1
18,98,0.1,1
18,99,0.1,1
17,100,0.1,1
15,101,0.1,1
12,101,0.8561875000000001,1
11,103,0.91675,1
16,104,0.8858750000000001,1
12,104,0.8526250000000001,1
21,104,0.1,1
20,104,0.1,1
13,104,0.1,2
11,105,0.914375,1
17,108,0.1,1
17,110,1,1
17,110,0.95,1
13,111,0.1,1
14,113,0.1,1
10,114,0.1,1
20,114,0.1,1
20,116,0.1,1
15,117,0.1,1
17,119,0.9393125000000001,1
20,120,0.1,1
15,120,0.1,1
14,120,0.1,1
10,123,0.1,1
13,124,0.1,1
16,124,0.862125,1
16,128,0.857375,1
14,128,0.1,1
12,129,0.8229375,1
14,129,0.1,1
21,130,0.1,1
10,131,0.1,1
14,132,0.1,1
24,134,1,1
18,135,0.1,1
14,136,0.1,1
18,137,0.1,1
16,138,0.8454999999999999,1
14,139,0.1,1
19,140,0.1,1
19,141,0.1,1
17,141,0.9131874999999999,1
16,141,0.8419374999999999,2
13,142,0.1,1
20,143,0.1,1
21,145,0.1,1
28,146,0.1,1
21,147,0.1,1
11,147,0.8645,1
15,148,0.1,1
15,150,0.1,1
17,152,0.9001250000000001,1
8,152,0.1,1
10,153,0.1,1
16,155,0.8253125,1
12,156,0.7908750000000001,1
12,157,0.7896875,1
16,158,0.82175,1
19,159,1,1
15,160,0.1,2
15,161,0.1,1
16,163,0.8158124999999999,1
14,164,0.1,1
14,165,0.1,1
10,168,0.1,1
13,171,0.1,1
10,174,0.1,1
15,175,0.1,1
11,176,0.8300624999999999,1
19,176,0.9298125,1
10,178,0.1,1
16,178,0.7979999999999999,1
19,181,0.923875,1
18,181,0.1,1
9,181,0.1,1
20,182,0.1,1
11,185,0.819375,1
19,185,0.919125,1
13,187,1,1
9,189,0.1,1
19,191,0.912,1
8,193,0.1,1
20,194,0.1,1
16,195,0.7778125,1
18,196,0.1,1
14,197,0.1,1
12,197,0.7421875,1
10,199,0.1,1
13,200,0.9345625,1
20,200,0.1,1
18,201,0.1,1
15,202,0.1,1
22,202,0.1,1
19,205,0.8953749999999999,1
16,206,0.7647499999999999,1
15,207,0.1,1
17,208,0.833625,1
18,208,0.1,1
7,209,0.1,1
4,211,0.1,1
12,212,0.724375,1
14,213,0.1,1
8,214,1,1
17,214,0.8265,1
8,214,0.95,1
12,215,0.7208125,1
18,216,0.1,1
14,217,0.1,1
10,218,0.1,1
12,219,0.7160625,1
11,221,0.7766249999999999,2
17,223,0.8158124999999999,1
6,225,0.1,1
20,226,0.1,1
12,227,0.7065625,1
8,227,0.9345625,1
16,228,0.738625,1
18,229,0.1,1
7,231,0.1,1
16,231,0.7350625,1
13,234,0.8941875,2
13,237,0.890625,1
20,240,0.1,1
13,241,0.8858750000000001,1
6,243,1,1
12,243,0.6875625,1
18,244,0.1,1
15,245,0.1,1
21,247,0.1,1
10,250,0.1,1
14,251,0.1,1
17,252,0.781375,1
17,255,0.7778125,1
11,258,0.7326874999999999,1
12,259,0.6685625000000001,1
16,259,0.7018125000000001,1
13,259,0.8645,1
17,260,0.771875,1
22,261,0.1,1
14,261,0.1,2
13,265,0.857375,1
19,268,0.8205625000000001,1
11,270,1,1
9,271,0.1,1
15,271,0.1,1
11,271,0.9488125,3
18,272,0.1,1
23,272,0.1,1
13,274,0.8466875,1
8,278,0.8740000000000001,1
12,279,0.6448125,1
20,280,0.1,1
17,280,0.748125,1
14,283,0.1,1
11,283,0.9345625,1
14,284,0.1,1
17,285,0.7421875,1
9,287,0.1,1
15,289,0.1,1
17,291,0.7350625,1
16,291,0.6638124999999999,1
13,291,0.8265,1
21,292,1,1
22,298,0.1,1
10,300,0.1,1
11,301,0.9131874999999999,2
29,301,0.1,1
14,301,0.1,1
10,301,0.1,1
13,302,0.8134375,1
8,302,0.8454999999999999,1
16,304,0.648375,1
9,305,0.1,1
19,307,0.77425,1
12,307,0.6115625,1
18,307,0.1,1
15,309,0.1,1
17,309,0.7136875,1
13,310,0.8039375,1
11,311,0.9013125,1
11,313,0.8989375,1
15,314,0.1,1
15,315,0.1,1
21,316,0.9215000000000001,1
14,317,0.1,1
11,319,0.8918125,1
13,320,1,1
13,322,0.947625,1
14,325,0.1,1
16,325,0.6234375,1
15,327,0.1,1
13,327,0.9416875,2
16,327,0.6210625000000001,1
10,328,0.1,1
17,329,0.6899375000000001,2
15,329,0.1,1
16,332,0.615125,1
10,333,0.1,1
14,333,0.1,1
12,334,0.5795,1
18,335,0.1,1
17,335,0.6828125,1
10,337,0.1,1
17,339,0.6780625,1
14,339,0.1,1
19,339,0.73625,1
15,340,1,1
12,340,0.5723750000000001,1
11,341,0.8656874999999999,1
12,341,0.5711875,1
9,343,0.1,1
12,346,0.56525,1
13,346,0.919125,1
15,346,0.9428749999999999,1
13,349,0.9155625000000001,1
16,349,0.5949375,1
17,351,0.6638124999999999,1
